Experiment	Frequency Sweep	
Date	17.02.2021 13:15:05	
User		
f_res (Hz)	21473,9993	
Q	1762	
Phase (deg)	-126,26	
Amp/Exc (nm/mV)	0,882419	
Number of points	2000	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-47.2909E+0	21.4915E+3	16.1519E-9	91.0136E+0
-47.2146E+0	21.4915E+3	17.1078E-9	88.1528E+0
-47.1382E+0	21.4915E+3	15.8510E-9	85.9352E+0
-47.0619E+0	21.4915E+3	15.8150E-9	89.6349E+0
-46.9855E+0	21.4915E+3	16.3262E-9	85.5028E+0
-46.9092E+0	21.4915E+3	16.8081E-9	83.8645E+0
-46.8329E+0	21.4915E+3	16.5840E-9	84.1513E+0
-46.7565E+0	21.4915E+3	15.7234E-9	89.5747E+0
-46.6802E+0	21.4915E+3	17.7914E-9	89.7160E+0
-46.6039E+0	21.4915E+3	17.2243E-9	89.7394E+0
-46.5275E+0	21.4915E+3	16.5810E-9	86.8297E+0
-46.4512E+0	21.4915E+3	16.6417E-9	90.4981E+0
-46.3748E+0	21.4915E+3	17.0492E-9	92.6265E+0
-46.2985E+0	21.4915E+3	17.8440E-9	80.5267E+0
-46.2222E+0	21.4915E+3	18.3167E-9	89.4521E+0
